,OBJECTID,STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,IS_TERMINUS,WEEKDAY_SAT_INC_START_TIME,SUN_INC_START_TIME,INC_END_TIME,WEEKDAY_SAT_DEC_START_TIME,SUN_DEC_START_TIME,DEC_END_TIME,LINE,NUMBER,CONNECTION_ID,NEXT_STATION_NUMBER,PREV_STATION_NUMBER,MAX_CAPACITY,MIN_CAPACITY
179,175,WOODLANDS SOUTH MRT STATION,TE03,-12,36,1.427259979,103.7938631,BROWN,FALSE,0,0,0,0,0,0,TE,03,175,04,02,1280.7857142857142,10.5
180,146,WOODLEIGH MRT STATION,NE11,9,7,1.339190046,103.8708081,PURPLE,FALSE,0,0,0,0,0,0,NE,11,146,12,10,867.5357142857143,1.8928571428571428
181,6,YEW TEE MRT STATION,NS05,-24,26,1.397535018,103.7474307,RED,FALSE,0,0,0,0,0,0,NS,05,6,07,04,3944.4285714285716,53.0
182,41,YIO CHU KANG MRT STATION,NS15,2,21,1.381756046,103.8449439,RED,FALSE,0,0,0,0,0,0,NS,15,41,16,14,3119.9285714285716,15.607142857142858
183,13,YISHUN MRT STATION,NS13,-1,37,1.429443081,103.8350045,RED,FALSE,0,0,0,0,0,0,NS,13,13,14,12,5615.821428571428,101.14285714285714
184,200,SPRINGLEAF MRT STATION,TE04,-69,-101,1.3974,103.8185,BROWN,FALSE,0,0,0,0,0,0,TE,04,200,05,03,391.4642857142857,1.6428571428571428
185,201,LENTOR MRT STATION,TE05,-69,-101,1.3855066,103.837438,BROWN,FALSE,0,0,0,0,0,0,TE,05,201,06,04,330.14285714285717,1.6428571428571428
186,202,MAYFLOWER MRT STATION,TE06,-69,-101,1.3714632,103.8365678,BROWN,FALSE,0,0,0,0,0,0,TE,06,202,07,05,1004.0,9.714285714285714
187,203,BRIGHT HILL MRT STATION,TE07,-69,-101,1.3632832,103.8328936,BROWN,FALSE,0,0,0,0,0,0,TE,07,203,08,06,593.5714285714286,1.7142857142857142
188,204,UPPER THOMSON MRT STATION,TE08,-69,-101,1.3544164,103.8328985,BROWN,FALSE,0,0,0,0,0,0,TE,08,204,09,07,707.5714285714286,1.75
189,205,CALDECOTT MRT STATION,TE09,0,6,1.337674508,103.8395281,BROWN,FALSE,0,0,0,0,0,0,TE,09,127,11,08,866.6785714285714,6.321428571428571
190,206,STEVENS MRT STATION,TE11,-3,0,1.320065557,103.8260263,BROWN,FALSE,0,0,0,0,0,0,TE,11,170,12,09,986.3928571428571,1.5714285714285714
191,207,NAPIER MRT STATION,TE12,-3,0,1.3067822,103.8189568,BROWN,FALSE,0,0,0,0,0,0,TE,12,207,13,11,366.7857142857143,0.17857142857142858
192,208,ORCHARD BOULEVARD MRT STATION,TE13,-3,0,1.3024222,103.8238685,BROWN,FALSE,0,0,0,0,0,0,TE,13,208,14,12,198.60714285714286,0.17857142857142858
193,209,ORCHARD MRT STATION,TE14,-2,-5,1.303981012,103.8322417,BROWN,FALSE ,0,0,0,0,0,0,TE,14,113,15,13,4305.678571428572,8.142857142857142
194,210,GREAT WORLD MRT STATION,TE15,-2,-5,1.2939482,103.8337208,BROWN,FALSE,0,0,0,0,0,0,TE,15,210,16,14,447.2142857142857,0.2857142857142857
195,211,HAVELOCK MRT STATION,TE16,-2,-5,1.2885052,103.8335858,BROWN,FALSE,0,0,0,0,0,0,TE,16,211,17,15,452.64285714285717,0.8214285714285714
196,212,OUTRAM PARK MRT STATION,TE17,-2,-5,1.2813296,103.8391376,BROWN,FALSE,0,0,0,0,0,0,TE,17,156,18,16,2728.214285714286,5.785714285714286
197,213,MAXWELL MRT STATION,TE18,-2,-5,1.2805333,103.8438837,BROWN,FALSE,0,0,0,0,0,0,TE,18,213,19,17,466.57142857142856,0.35714285714285715
198,214,SHENTON WAY MRT STATION,TE19,-2,-5,1.2777168,103.8503676,BROWN,FALSE,0,0,0,0,0,0,TE,19,214,20,18,618.3928571428571,0.21428571428571427
199,215,MARINA BAY MRT STATION,TE20,-2,-5,1.2747417,103.8553092,BROWN,FALSE,0,0,0,0,0,0,TE,20,128,22,19,535.6428571428571,1.1428571428571428
200,216,GARDENS BY THE BAY MRT STATION,TE22,-2,-5,1.2784873,103.8674547,BROWN,FALSE,0,0,0,0,0,0,TE,22,216,-1,20,151.82142857142858,0.07142857142857142
